rank,animal,crowd_score,normalized,rescaled,category
265,Palaeoloxodon mnaidriensis,76.016160,743.8509,743.8509,non-mesozoic
266,Sibotherium ka,75.954481,743.2473,743.2473,non-mesozoic
267,Northern Elephant Seal,75.405202,737.8724,737.8724,non-mesozoic
268,Saivodus striatus,74.943290,733.3524,733.3524,non-mesozoic
269,Pleistocene North American Jaguar,73.955499,723.6864,723.6864,non-mesozoic
270,Anteosaurus magnificus,73.186012,716.1567,716.1567,non-mesozoic
271,Asian Elephant (cow),72.850976,712.8782,712.8782,non-mesozoic
272,Minmi paravertebra,5.333875,52.1943,664.6694,dinosaur
273,Diprotodon optatum,67.827012,663.7166,663.7166,non-mesozoic
274,Pacific Walrus,66.020977,646.0437,646.0437,non-mesozoic
275,Dorudon serratus,66.009420,645.9306,645.9306,non-mesozoic
276,Carbonemys cofrinii,65.575254,641.6821,641.6821,non-mesozoic
277,Anzu wyliei,5.071891,49.6306,632.0228,dinosaur
278,Chilotherium wimani,63.739131,623.7149,623.7149,non-mesozoic
279,Rhizodus hibberti,63.034594,616.8207,616.8207,non-mesozoic
280,False Killer Whale (cow),62.961783,616.1082,616.1082,non-mesozoic
281,Ophthalmosaurus icenicus,17.459682,170.8505,609.6881,mesozoic-other
282,Mastodonsaurus spp.,17.238391,168.6851,601.9607,mesozoic-other
283,Black Rhinoceros,60.636246,593.3518,593.3518,non-mesozoic
284,Arctodus simus,59.754300,584.7216,584.7216,non-mesozoic
285,Arizonasaurus babbitti,4.687531,45.8695,584.1266,dinosaur
286,Spotted Hyenas (clan of 6-8),59.385716,581.1148,581.1148,non-mesozoic
287,Wood Bison (herd of 3),57.317288,560.8744,560.8744,non-mesozoic
288,Smilodon populator (pride of 4),56.951378,557.2938,557.2938,non-mesozoic
289,Hippopotamus,56.475575,552.6379,552.6379,non-mesozoic
290,Steppe Brown Bear,56.471323,552.5962,552.5962,non-mesozoic
291,Short-finned Pilot Whale,55.821652,546.2389,546.2389,non-mesozoic
292,Estemmenosuchus uralensis,55.742073,545.4602,545.4602,non-mesozoic
293,Asiatic Lion (coalition of 2),55.528429,543.3696,543.3696,non-mesozoic
294,Daeodon shoshonensis,55.491474,543.0080,543.0080,non-mesozoic
295,Smilodon populator (coalition of 2),55.484602,542.9408,542.9408,non-mesozoic
296,Saltwater Crocodile,55.476312,542.8596,542.8596,non-mesozoic
297,African (Cape) Buffaloes (Herd of 4),54.858072,536.8099,536.8099,non-mesozoic
298,Lion (Coalition of 2/3),54.654025,534.8132,534.8132,non-mesozoic
299,Lion (Coalition of 4),54.591026,534.1967,534.1967,non-mesozoic
300,African Lion (Coalition of 2),54.018285,528.5922,528.5922,non-mesozoic
301,Simbakubwa kutokaafrika,53.932779,527.7555,527.7555,non-mesozoic
302,African (Cape) Buffalo (herd of 3),52.231517,511.1079,511.1079,non-mesozoic
303,Arctodus simus (sow),52.016284,509.0018,509.0018,non-mesozoic
304,Jefferson's Ground Sloth,51.276701,501.7646,501.7646,non-mesozoic
305,Arctotherium angustidens,51.099911,500.0347,500.0347,non-mesozoic
306,Lion (Coalition of 2),50.985062,498.9108,498.9108,non-mesozoic
307,African (Cape) Buffalo (herd of 4),50.593705,495.0812,495.0812,non-mesozoic
308,Salmon Shark (salmon/river battle),50.320348,492.4063,492.4063,non-mesozoic
309,Antarctic (Southern) Minke Whale,49.342871,482.8413,482.8413,non-mesozoic
310,Sillosuchus longicervix,13.813559,135.1716,482.3663,mesozoic-other
311,Timurlengia euotica,3.865306,37.8237,481.6668,dinosaur
312,Aurochs,49.030790,479.7874,479.7874,non-mesozoic
313,Dakosaurus maximus,13.724486,134.3000,479.2559,mesozoic-other
314,Titanoboa cerrejonensis,48.641611,475.9791,475.9791,non-mesozoic
315,European Cave Bear,47.157646,461.4579,461.4579,non-mesozoic
316,Greenland Shark,46.045453,450.5746,450.5746,non-mesozoic
317,Megalochoerus khinzikebirus,45.247400,442.7653,442.7653,non-mesozoic
318,Giant (Long-horned) Bison,45.050076,440.8344,440.8344,non-mesozoic
319,Pelorovis antiquus,44.306297,433.5562,433.5562,non-mesozoic
320,Dhole (Pack of 12),44.247926,432.9850,432.9850,non-mesozoic
321,Dholes (Large Pack),43.852793,429.1185,429.1185,non-mesozoic
322,Agriotherium africanum,43.320211,423.9069,423.9069,non-mesozoic
323,Bull Shark (in shallow water),43.202698,422.7570,422.7570,non-mesozoic
324,Machairodus lahayishupup,42.562096,416.4885,416.4885,non-mesozoic
325,Spotted Hyenas (clan of 4),42.545879,416.3298,416.3298,non-mesozoic
326,Epicyon haydeni (pack of 4),42.303688,413.9598,413.9598,non-mesozoic
327,Harlan's Ground Sloth,41.912792,410.1347,410.1347,non-mesozoic
328,Southern Elephant Seal,41.869136,409.7076,409.7076,non-mesozoic
329,Spotted Hyenas (clan of 10),41.412699,405.2411,405.2411,non-mesozoic
330,Elasmosaurus platyurus,11.582678,113.3415,404.4645,mesozoic-other
331,Rauisuchus tiradentes,11.561276,113.1321,403.7171,mesozoic-other
332,West African Lion,40.414482,395.4731,395.4731,non-mesozoic
333,Giant (Short-faced) Hyena (clan of 3),40.181910,393.1973,393.1973,non-mesozoic
334,Zuniceratops christopheri,3.002206,29.3779,374.1135,dinosaur
335,Nile Crocodile,38.130171,373.1202,373.1202,non-mesozoic
336,Polar Bear,37.655298,368.4733,368.4733,non-mesozoic
337,Atlantic Walrus,36.902839,361.1102,361.1102,non-mesozoic
338,Lioness (pride of 2),36.616779,358.3110,358.3110,non-mesozoic
339,Great White Shark (male),36.143897,353.6836,353.6836,non-mesozoic
340,Lion (coalition of 5),35.990273,352.1803,352.1803,non-mesozoic
341,Dire Wolf (pack of 5),35.843247,350.7416,350.7416,non-mesozoic
342,Tiger Shark,35.668912,349.0357,349.0357,non-mesozoic
343,Andrewsarchus mongoliensis,35.591982,348.2829,348.2829,non-mesozoic
344,Grey Wolf (pack of 10),35.324715,345.6676,345.6676,non-mesozoic
345,Pleistocene Polar Bear,35.140727,343.8672,343.8672,non-mesozoic
346,Metamynodon planifrons,34.885066,341.3654,341.3654,non-mesozoic
347,Deinonychus antirrhopus,2.738945,26.8018,341.3078,dinosaur
348,Deinonychus antirrhopus (pack of 2),2.712343,26.5414,337.9928,dinosaur
349,Megalania prisca,34.420368,336.8181,336.8181,non-mesozoic
350,Smilodon populator,33.866219,331.3956,331.3956,non-mesozoic
351,Sarkastodon mongoliensis,33.748240,330.2411,330.2411,non-mesozoic
352,Batrachotomus kupferzellensis,9.266705,90.6787,323.5912,mesozoic-other
353,Amphicyon ingens,33.042169,323.3319,323.3319,non-mesozoic
354,Tapinocephalus atherstonei,32.738217,320.3576,320.3576,non-mesozoic
355,Hatzegopteryx thambema,9.100397,89.0513,317.7838,mesozoic-other
356,Spotted Hyenas (clan of 5/6),32.296835,316.0385,316.0385,non-mesozoic
357,Maraapunisaurus fragillimus,2.530049,24.7576,315.2766,dinosaur
358,Acrophyseter deinodon,31.848716,311.6534,311.6534,non-mesozoic
359,Megistotherium osteothlastes,31.324113,306.5200,306.5200,non-mesozoic
360,Pygmy Mammoth,31.131044,304.6307,304.6307,non-mesozoic
