rank,animal,power,category
497,Gastornis gigantea (2),10.610901,non-mesozoic
498,Monolophosaurus jiangi,10.599571,dinosaur
499,Walrus (Bull),10.580021,non-mesozoic
500,Shire Horse,10.520752,non-mesozoic
501,Giant Otter Romp (5 - 6),10.482176,non-mesozoic
502,Europasaurus holgeri,10.478044,dinosaur
503,Orkoraptor burkei,10.473429,dinosaur
504,Bengal Tigress,10.467179,non-mesozoic
505,Giant Otter Romp (8),10.346725,non-mesozoic
506,Pygmy Sperm Whale,10.345579,non-mesozoic
507,Gigantophis garstini,10.292732,non-mesozoic
508,Cave Hyena (clan of 2),10.248482,non-mesozoic
509,Siberian Tiger,10.160022,non-mesozoic
510,Dinocrocuta gigantea,10.151464,non-mesozoic
511,Black Caiman,10.133492,non-mesozoic
512,Aucasaurus garridoi,10.062848,dinosaur
513,Beluga,9.872164,non-mesozoic
514,Indochinese Tiger,9.851991,non-mesozoic
515,Archaeotherium mortoni,9.827138,non-mesozoic
516,Patagonian Panther,9.810244,non-mesozoic
517,Himalayan Black Bear,9.740847,non-mesozoic
518,Rhabdodon spp.,9.710336,dinosaur
519,Mugger (Marsh) Crocodile,9.643466,non-mesozoic
520,Early Middle Pleistocene European Cave Lion,9.576095,non-mesozoic
521,Eastern Gorilla (coalition of 3),9.516152,non-mesozoic
522,Holmesina septentrionalis,9.311100,non-mesozoic
523,Batrachotomus kupferzellensis,9.266705,mesozoic-other
524,Bengal Tiger,9.140624,non-mesozoic
525,Hatzegopteryx thambema,9.100397,mesozoic-other
526,African Lion,9.025130,non-mesozoic
527,Dire Wolf (pack of 3),8.941891,non-mesozoic
528,Marsupial Lion,8.889745,non-mesozoic
529,Nile Crocodile (female),8.718931,non-mesozoic
530,Bull Shark,8.656241,non-mesozoic
531,Gojirasaurus quayi,8.650955,dinosaur
532,Archaeoindris fontoynonti (2),8.643852,non-mesozoic
533,Cymbospondylus buchseri,8.457706,mesozoic-other
534,African Wild Dog (pack of 10),8.450872,non-mesozoic
535,Grizzly Bear (sow),8.189014,non-mesozoic
536,European Ice Age Leopard,8.096475,non-mesozoic
537,Proterosuchus spp.,8.041078,mesozoic-other
538,Ussuri Brown Bear (sow),8.007185,non-mesozoic
539,Morelet's Crocodile,7.995064,non-mesozoic
540,Asiatic Lion,7.953600,non-mesozoic
541,Himalayan Brown Bear,7.850166,non-mesozoic
542,Belgian Blue,7.740679,non-mesozoic
543,Barren Ground Grizzly Bear,7.646187,non-mesozoic
544,Western Lowland Gorilla (male troop of 2),7.610603,non-mesozoic
545,Northwestern Wolf (pack of 2/3),7.577099,non-mesozoic
546,Spotted Hyenas (clan of 3),7.556156,non-mesozoic
547,Quetzalcoatlus northropi,7.534744,mesozoic-other
548,Armadillosuchus arrudai,7.508153,non-mesozoic
549,Pachycephalosaurus wyomingensis,7.497395,dinosaur
550,Moros intrepidus (pack of 2),7.436795,dinosaur
551,Snow Leopard (mating pair),7.435177,non-mesozoic
552,Kaprosuchus saharicus,7.322328,mesozoic-other
553,Chapalmalania altaefrontis,7.311762,non-mesozoic
554,Tiger Shark (female),7.290506,non-mesozoic
555,Lioness,7.288510,non-mesozoic
556,Enhydriodon omoensis,7.164507,non-mesozoic
557,Saltwater Crocodile (cow),7.089738,non-mesozoic
558,Caspian Tiger,7.069165,non-mesozoic
559,Brontornis burmeisteri,7.038555,non-mesozoic
560,Trochosuchus acutus,7.017213,mesozoic-other
561,Leopard Seal,7.010603,non-mesozoic
562,Gallimimus bullatus,6.985130,dinosaur
563,Akita Inu (pack of 5),6.938073,non-mesozoic
564,Dhole (Pack of 6),6.938073,non-mesozoic
565,Dire Wolves (pack of 2),6.798629,non-mesozoic
566,Placerias hesternus,6.741163,non-mesozoic
567,Bactrian Camel,6.652503,non-mesozoic
568,Kelenken guillermoi,6.599787,non-mesozoic
569,Common Eland,6.463158,non-mesozoic
570,Barylambda faberi,6.438851,non-mesozoic
571,Alano Españols (2),6.429311,non-mesozoic
572,Longdan Tiger,6.421761,non-mesozoic
573,Spotted Hyena (clan of 2),6.386629,non-mesozoic
574,Tibetan Blue Bear,6.350499,non-mesozoic
575,African (Cape) Buffalo (cow),6.327097,non-mesozoic
576,Siberian Tigress,6.096646,non-mesozoic
