Clouded Leopard,Eastern Coyote,0.79,28
Clouded Leopard,Steppe Wolf,0.3,33
European Ice Age Leopard,Dire Wolf,0.91,32
European Jaguar,Epicyon haydeni (pack of 2),0.59,17
Indian Leopard,Indian Wolf (pack of 3/4),0.48,25
Jaguar,African Wild Dog (pack of 5),0.47,36
Jaguar,Bush Dog (pack of 8),0.82,44
Jaguar,Epicyon haydeni,0.52,44
Jaguar,Grey Wolf (pack of 3),0.47,34
Jaguaress,Epicyon haydeni,0.29,24
Leopard,African Wild Dog (pack of 4),0.35,37
Leopard,Dhole (Pack of 5),0.43,30
Leopard,Grey Wolves (pack of 2),0.38,77
Lion,African Wild Dog (pack of 10),0.69,49
Lion,Grey Wolf (Pack of 6),0.63,63
Mexican Jaguar,Mexican Wolf (pack of 3),0.4,10
Mexican Jaguaress,Northwestern Wolf,0.78,27
Persian Leopard,Dingo (pack of 3/4),0.76,21
Persian Leopard,Dire Wolf,0.79,24
Pleistocene North American Jaguar,Dire Wolves (pack of 3),0.77,13
Siberian Tiger,Northwestern Wolf (pack of 6),0.48,50
Siberian Tigress,Grey Wolf (Pack of 5),0.35,31
Snow Leopard,Dhole (Pack of 4),0.48,31
Snow Leopard,Dire Wolf,0.32,38
Snow Leopard,Grey Wolf,0.8,74
Snow Leopard,Himalayan Wolf (pack of 2),0.47,15
Snow Leopard,Northwestern Wolf,0.62,73
Sunda Clouded Leopard,Bush Dog (pack of 3),0.67,9
Sunda Clouded Leopard,Dhole (Pack of 2),0.3762376238,8
Sunda Clouded Leopard,Indian Wolf,0.9,20
Trinil Tiger,Dire Wolves (pack of 3),0.33,12
African Lion,Kangals (5),0.9,20
Amur Leopard,Bully Kutta,0.81,16
Amur Leopard,Caucasian Shepherd Dog,0.83,12
Arabian Leopard,Dogo Argentino,0.58,33
Bengal Tiger,Central Asian Shepherd Dog (Alabai) (pack of 6),0.69,16
Bengal Tiger,Dogo Argentino (pack of 6-8),0.68,19
Cape Leopard,American Bully,0.94,18
Cape Leopard,Anatolian Shepherd Dog,0.52,25
Cape Leopard,Bull Arab,0.76,17
Cape Leopard,Cimarr�n Uruguayo,0.92,13
Cape Leopard,Dogo Argentino,0.7,43
